,ID,label,subset,resolution,duration,caption,url
0,u2uoYvo8J5s,Swinging at the playground,training,1280x720,208.86,"[([0, 11.49], 'A man is opening his back door to let a little girl outside.'), ([0, 43.86], ' The man is following the little girl.'), ([9.4, 32.37], ' A little girl walks and points toward the camera.'), ([25.06, 30.29], ' A dog enters the scene and the little girl jumps with happiness.'), ([36.55, 45.95], ' The little girl walks around her slide.'), ([43.86, 77.28], ' The little girl starts to climb up the slide and the man helps her get to the top.'), ([76.24, 99.21], ' The little girl begins to play with the wheel and gets on her knees.'), ([99.21, 115.92], ' The man helps the little girl go down the slide.'), ([115.92, 171.27], ' The little girl goes to the swing and the man helps her into it.'), ([152.47, 154.56], ' The little girl points at the camera.'), ([174.4, 208.86], ' The man pushes the little girl on the swing.')]",https://www.youtube.com/watch?v=u2uoYvo8J5s
1,c_NlYvL96y0,Ballet,training,1280x720,125.27,"[([0, 5.64], 'A girl is stretching her body on a ballet bar.'), ([5.01, 8.77], ' An instructor stands with a woman and talks about ballet.'), ([8.77, 15.66], ' The girl dances and pans back to the instructor.'), ([20.67, 25.68], ' The instructor talks about the tools you will need for ballet.'), ([26.93, 125.27], ' She talks about various ballet moves to do at the barre while the dancer demonstrates.')]",https://www.youtube.com/watch?v=c_NlYvL96y0
2,sjyZWmvTGA4,Blowing leaves,training,1920x1080,35.97,"[([0.54, 27.34], 'Several men are blowing leaves in front of a home.'), ([3.06, 27.34], ' One man is going all throughout the yard to blow the leaves.'), ([5.75, 25.18], ' He clears out in front of the home.'), ([10.07, 12.95], ' He also clears out by the shed.'), ([27.34, 35.25], ' Another man is shown wandering through the yard.')]",https://www.youtube.com/watch?v=sjyZWmvTGA4
3,c5dvRUBZw2Q,Scuba diving,validation,1280x720,234.32999999999998,"[([0, 17.57], 'A young girl is standing in a neon wet suit on a boat preparing to jump off.'), ([17.57, 80.84], 'The camera pans the rest of the people on the boat and the girl finally jumps in wearing her equipment to breath efficiently.'), ([80.84, 132.39], 'A water buoy and rope is then shown as the girl goes deep under the water and swims with several schools of fish.'), ([132.39, 176.92], 'A boy then pulls out several cards under the water and they begin doing truth or dares under the water and he asks the women will she marry him.'), ([176.92, 234.33], 'After the guy gets his answer,they leave from under the water and several pictures are shown to show off the ring.')]",https://www.youtube.com/watch?v=c5dvRUBZw2Q
4,gKkk82LG8H0,Playing congas,training,1280x720,121.53,"[([0, 121.53], 'Group play the bongos while a young woman dances.'), ([26.13, 32.21], ' A couple walks past the group.'), ([36.46, 40.71], ' The drummer gives the camera a thumbs up gesture.'), ([53.47, 68.06], ' Lots of people pass in the background.'), ([81.43, 111.2], ' A small group are looking on at the musicians.'), ([111.2, 121.53], ' The dancer poses with 2 other women.')]",https://www.youtube.com/watch?v=gKkk82LG8H0
5,MbCAiWBhAjo,Making a lemonade,training,1920x1080,135.35,"[([0, 9.47], 'Lemons are thrown onto a counter and glasses of lemon-aid appear with ice in mason jars on the counter as well.'), ([9.47, 26.39], ' Lemons are then rolled around against the counter back and forth evenly with the palm of a hand using firm pressure.'), ([26.39, 39.93], ' The lemons are scraped back and forth against a metal food grater to get the zest off of them leaving the skin of the lemon in a bowl.'), ([39.93, 64.97], ' Water is added into a saucepan along with sugar, and then the lemon zest that was extracted with the metal shredder is added to the water as well.'), ([64.97, 92.04], ' The lemons are cut and juiced over a glass bowl and then the juice is poured through a strainer along with the sugar water with zest that was previously mixed in the saucepan.'), ([92.04, 135.35], ' The mixture is stirred with added water and ice is then added.')]",https://www.youtube.com/watch?v=MbCAiWBhAjo
6,-YjGbsbDoxs,Painting,training,1280x720,162.35,"[([11.36, 127.45], 'A lady named Linda, creator of Paint Along is demonstrating how to do an acrylic painting.'), ([18.67, 127.45], ' She starts with a one inch flat brush and yellow and white acrylic paint.'), ([37.34, 127.45], ' She makes X patterns across the canvas with the yellow color.'), ([43.84, 127.45], ' She continues the same pattern on the top part of the canvas.'), ([60.88, 127.45], ' Then she draws straight lines across the canvas with an orange color.'), ([108.78, 127.45], ' She then takes a liner brush to do some finer detailing on the painting such as branches of a tree.'), ([123.39, 155.86], ' She takes a flatter brush to demonstrate a dabbing technique with excess paint to show flower petals.'), ([153.42, 155.86], ' She ends the video with the abstract painting technique.')]",https://www.youtube.com/watch?v=-YjGbsbDoxs
7,R4ES1QLRvtg,Shoveling snow,training,1920x1080,187.39,"[([23.42, 53.41], 'A person in dark winter gear is using a shovel to shovel the walkway of a parking garage.'), ([53.41, 113.37], ' It is night time and the street is dimly lit with the street lights.'), ([113.37, 149.91], ' He continues shoveling the entire pathway while several cars drive by on the main road nearby.'), ([149.91, 177.08], 'He picks up the up snow and piles it up on the corner.'), ([177.08, 187.39], ' After he finishes, he walks away.')]",https://www.youtube.com/watch?v=R4ES1QLRvtg
8,e0Qj2F3V6fM,Making an omelette,training,1920x1080,214.62,"[([0, 23.61], 'The video stats explaining how to make Omelette muffins.'), ([23.61, 60.09], ' She shows the ingredients and tell what to set the oven to.'), ([62.24, 151.31], ' She mixes everything together and stirs it up with seasoning.'), ([152.38, 189.94], ' She then puts it into the tray and into the oven to bake.'), ([191.01, 214.62], ' Afterward she takes it out and shows the finished product.')]",https://www.youtube.com/watch?v=e0Qj2F3V6fM
9,hmT9H0IjiGs,Making a lemonade,training,1280x720,215.55,"[([14.01, 46.34], 'A man wearing a white hat is demonstrating how to make a Caribbean drink.'), ([46.34, 63.59], ' He shows a bowl filled with citrus fruits.'), ([63.59, 85.14], ' He takes a lemon juicer and some lemons and limes and oranges.'), ([85.14, 106.7], ' He then juices the oranges and lemon on the juicer.'), ([106.7, 132.56], ' He then empties the juice a large cocktail bowl.'), ([132.56, 151.96], ' He adds rum to the juice along with some vanilla extract.'), ([151.96, 172.44], ' He also mixes in sugar and rum and whisks the drink.'), ([172.44, 195.07], ' He finally adds a bowl full of water and stirs it well.'), ([195.07, 205.85], ' He pours the beverage in cocktail glasses and places it on the kitchen counter.')]",https://www.youtube.com/watch?v=hmT9H0IjiGs
